winner,loser,winner_rating_before,loser_rating_before,winner_rating_after,loser_rating_after,winner_expected,rating_change_winner,rating_change_loser
sup4_t0.7,sup4_t0.7,-6681.141103517035,-6681.141103517035,-6665.141103517035,-6697.141103517035,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-8281.141103517035,-8281.141103517035,-8265.141103517035,-8297.141103517035,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-8249.141103584227,-8249.141103584227,-8233.141103584227,-8265.141103584227,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-34164.0,-34164.0,-34148.0,-34180.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-34724.0,-34724.0,-34708.0,-34740.0,0.5,16.0,-16.0
ref,sup4_t0.7,-2100.8308516623474,-8441.141103661017,-2100.8308516591474,-8441.141103664217,0.9999999999,3.200057108188048e-09,-3.1996023608371615e-09
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-36068.0,-36068.0,-36052.0,-36084.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-36916.0,-36916.0,-36900.0,-36932.0,0.5,16.0,-16.0
sup4_t0.7,ref,-8697.141103757005,-2292.8308515663457,-8665.141103760205,-2324.8308515631456,9.999999999e-11,31.999999996800398,-31.999999996799943
sup4_t0.7,sup4_t0.7,-10201.141103763404,-10201.141103763404,-10185.141103763404,-10217.141103763404,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-36036.0,-36036.0,-36020.0,-36052.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-38292.0,-38292.0,-38276.0,-38308.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-37332.0,-37332.0,-37316.0,-37348.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-40260.0,-40260.0,-40244.0,-40276.0,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-10873.14110387859,-10873.14110387859,-10857.14110387859,-10889.14110387859,0.5,16.0,-16.0
ref,sup4_t0.7,-2548.830851406343,-11049.141103916985,-2548.830851403143,-11049.141103920185,0.9999999999,3.200057108188048e-09,-3.1996023608371615e-09
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-42116.0,-42116.0,-42100.0,-42132.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-42676.0,-42676.0,-42660.0,-42692.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-43828.0,-43828.0,-43812.0,-43844.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-45220.0,-45220.0,-45204.0,-45236.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-46180.0,-46180.0,-46164.0,-46196.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-46916.0,-46916.0,-46900.0,-46932.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-42532.0,-42532.0,-42516.0,-42548.0,0.5,16.0,-16.0
ref,sup4_t0.7,-3188.830851137538,-11721.141104185752,-3188.830851134338,-11721.141104188951,0.9999999999,3.200057108188048e-09,-3.1996023608371615e-09
sup4_t0.7,ref,-11817.141104224147,-3252.8308510991374,-11785.141104227347,-3284.8308510959373,9.999999999e-11,31.999999996800398,-31.999999996799943
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-44820.0,-44820.0,-44804.0,-44836.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-45860.0,-45860.0,-45844.0,-45876.0,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-12441.141104262542,-12441.141104262542,-12425.141104262542,-12457.141104262542,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-46820.0,-46820.0,-46804.0,-46836.0,0.5,16.0,-16.0
ref,sup4_t0.7,-3348.8308510575366,-13881.141104265742,-3348.8308510543366,-13881.141104268941,0.9999999999,3.200057108188048e-09,-3.1996023608371615e-09
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-50372.0,-50372.0,-50356.0,-50388.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-51972.0,-51972.0,-51956.0,-51988.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-49556.0,-49556.0,-49540.0,-49572.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-50644.0,-50644.0,-50628.0,-50660.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-53204.0,-53204.0,-53188.0,-53220.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-54564.0,-54564.0,-54548.0,-54580.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-52772.0,-52772.0,-52756.0,-52788.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-55348.0,-55348.0,-55332.0,-55364.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-54564.0,-54564.0,-54548.0,-54580.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-55972.0,-55972.0,-55956.0,-55988.0,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-14473.141104454518,-14473.141104454518,-14457.141104454518,-14489.141104454518,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-56068.0,-56068.0,-56052.0,-56084.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-59620.0,-59620.0,-59604.0,-59636.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-59988.0,-59988.0,-59972.0,-60004.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-60660.0,-60660.0,-60644.0,-60676.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-58948.0,-58948.0,-58932.0,-58964.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-59876.0,-59876.0,-59860.0,-59892.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-62900.0,-62900.0,-62884.0,-62916.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-60340.0,-60340.0,-60324.0,-60356.0,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-15449.141104745682,-15449.141104745682,-15433.141104745682,-15465.141104745682,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-16441.141104828872,-16441.141104828872,-16425.141104828872,-16457.141104828872,0.5,16.0,-16.0
ref,sup4_t0.7,-3956.8308504911265,-17833.141104832073,-3956.8308504879265,-17833.141104835275,0.9999999999,3.200057108188048e-09,-3.2014213502407074e-09
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-61300.0,-61300.0,-61284.0,-61316.0,0.5,16.0,-16.0
